NONE|No Contest ID
WWDX|CQ/RJ WW RTTY DX Contest
WPX|CQ/RJ WW RTTY WPX Contest
DLDX|DARC DL-DX RTTY Contest
WAE|DARC WAE DX Contest (RTTY)
PACC|Dutch PACC Digi Contest
EUHF|EU HF Championship
PSK|EU PSK DX Contest
HADX|Hungarian DX Contest
HOLY|IARC Holyland Contest
HFWC|IARU HF World Championship
JIDX|Japan International DX Contest
LZDX|LZ DX Contest
MEQP|Maine QSO Party
XEIC|Mexico International Contest (RTTY)
RURC|Russian Radio RTTY Worldwide Contest
SART|SARTG WW RTTY
TARA|TARA RTTY Melee
10RT|Ten-Meter RTTY Contest
EAWW|Union de Radioaficionados Espanoles RTTY Contest
DIGI|World Wide Digi DX Contest
YUDX|YU DX Contest
