NONE|No Contest ID
RSGB-160|1.8MHz Contest
RSGB-21/28-CW|21/28 MHz Contest (CW)
RSGB-21/28-SSB|21/28 MHz Contest (SSB)
7QP|7th-Area QSO Party
RSGB-80M-CC|80m Club Championships
RSGB-AFS-CW|Affiliated Societies Team Contest (CW)
RSGB-AFS-SSB|Affiliated Societies Team Contest (SSB)
AL-QSO-PARTY|Alabama QSO Party
VOLTA-RTTY|Alessandro Volta RTTY DX Contest
ANARTS-RTTY|ANARTS WW RTTY
ANATOLIAN-RTTY|Anatolian WW RTTY
ARI-DX|ARI DX Contest
AZ-QSO-PARTY|Arizona QSO Party
AR-QSO-PARTY|Arkansas QSO Party
ARRL-10-GHZ|ARRL 10 GHz and Up Contest
ARRL-10|ARRL 10 Meter Contest
ARRL-160|ARRL 160 Meter Contest
ARRL-222|ARRL 222 MHz and Up Distance Contest
ARRL-UHF-AUG|ARRL August UHF Contest
ARRL-EME|ARRL EME contest
ARRL-FIELD-DAY|ARRL Field Day
ARRL-DX-CW|ARRL International DX Contest (CW)
ARRL-DX-SSB|ARRL International DX Contest (Phone)
ARRL-VHF-JAN|ARRL January VHF Sweepstakes
ARRL-VHF-JUN|ARRL June VHF QSO Party
ARRL-SS-CW|ARRL November Sweepstakes (CW)
ARRL-SS-SSB|ARRL November Sweepstakes (Phone)
ARRL-RR-CW|ARRL Rookie Roundup (CW)
ARRL-RR-SSB|ARRL Rookie Roundup (Phone)
ARRL-RR-RTTY|ARRL Rookie Roundup (RTTY)
ARRL-RTTY|ARRL RTTY Round-Up
ARRL-SCR|ARRL School Club Roundup
ARRL-VHF-SEP|ARRL September VHF QSO Party
AP-SPRINT|Asia - Pacific Sprint
EA-VHF-ATLANTIC|Atlantico V-UHF
BARTG-RTTY|BARTG Spring RTTY Contest
BARTG-SPRINT|BARTG Sprint Contest
BC-QSO-PARTY|British Columbia QSO Party
CA-QSO-PARTY|California QSO Party
RAC (import-only)|Canadian Amateur Radio Society Contest
CIS-DX|CIS DX Contest
